date,chlor_a,status,source_file
2018-06-20,,filled,ST.nc
2018-06-21,,filled,ST.nc
2018-06-22,,filled,ST.nc
2018-06-23,,filled,ST.nc
2018-06-24,,filled,ST.nc
2018-06-25,2.41734767,filled,ST.nc
2018-06-26,,filled,ST.nc
2018-06-27,,filled,ST.nc
2018-06-28,,filled,ST.nc
2018-06-29,2.993643522,filled,ST.nc
2018-06-30,,filled,ST.nc
2018-07-01,,filled,ST.nc
2018-07-02,,filled,ST.nc
2018-07-03,2.933783293,filled,ST.nc
2018-07-04,,filled,ST.nc
2018-07-05,,filled,ST.nc
2018-07-06,,filled,ST.nc
2018-07-07,,filled,ST.nc
2018-07-08,2.947039604,filled,ST.nc
2018-07-09,,filled,ST.nc
2018-07-10,2.708595276,filled,ST.nc
2018-07-11,2.505249262,filled,ST.nc
2018-07-12,3.662985563,filled,ST.nc
2018-07-13,,filled,ST.nc
2018-07-14,0.502382636,filled,ST.nc
2018-07-15,,filled,ST.nc
2018-07-16,,filled,ST.nc
2018-07-17,,filled,ST.nc
2018-07-18,,filled,ST.nc
2018-07-19,2.426058531,filled,ST.nc
2018-07-20,,filled,ST.nc
2018-07-21,,filled,ST.nc
2018-07-22,2.511137962,filled,ST.nc
2018-07-23,3.569783449,filled,ST.nc
2018-07-24,,filled,ST.nc
2018-07-25,,filled,ST.nc
2018-07-26,4.580239296,filled,ST.nc
2018-07-27,,filled,ST.nc
2018-07-28,,filled,ST.nc
2018-07-29,,filled,ST.nc
2018-07-30,5.814258099,filled,ST.nc
2018-07-31,4.922872066,filled,ST.nc
2018-08-01,,filled,ST.nc
2018-08-02,,filled,ST.nc
2018-08-03,,filled,ST.nc
2018-08-04,,filled,ST.nc
2018-08-05,,filled,ST.nc
2018-08-06,,filled,ST.nc
2018-08-07,,filled,ST.nc
2018-08-08,,filled,ST.nc
2018-08-09,,filled,ST.nc
2018-08-10,22.86712646,filled,ST.nc
2018-08-11,,filled,ST.nc
2018-08-12,,filled,ST.nc
2018-08-13,,filled,ST.nc
2018-08-14,,filled,ST.nc
2018-08-15,,filled,ST.nc
2018-08-16,,filled,ST.nc
2018-08-17,,filled,ST.nc
2018-08-18,,filled,ST.nc
2018-08-19,16.06821632,filled,ST.nc
2018-08-20,,filled,ST.nc
2018-08-21,,filled,ST.nc
2018-08-22,38.38312531,filled,ST.nc
2018-08-23,7.458913326,filled,ST.nc
2018-08-24,,filled,ST.nc
2018-08-25,,filled,ST.nc
2018-08-26,8.499629974,filled,ST.nc
2018-08-27,18.02148438,filled,ST.nc
2018-08-28,,filled,ST.nc
2018-08-29,,filled,ST.nc
2018-08-30,4.034858227,filled,ST.nc
2018-08-31,,filled,ST.nc
2018-09-01,,filled,ST.nc
2018-09-02,5.894635677,filled,ST.nc
2018-09-03,4.425150871,filled,ST.nc
2018-09-04,6.302767754,filled,ST.nc
2018-09-05,,filled,ST.nc
2018-09-06,12.52806377,filled,ST.nc
2018-09-07,13.23525429,filled,ST.nc
2018-09-08,,filled,ST.nc
2018-09-09,,filled,ST.nc
2018-09-10,9.805693626,filled,ST.nc
2018-09-11,,filled,ST.nc
2018-09-12,,filled,ST.nc
2018-09-13,,filled,ST.nc
2018-09-14,11.8938446,filled,ST.nc
2018-09-15,11.46059036,filled,ST.nc
2018-09-16,,filled,ST.nc
2018-09-17,,filled,ST.nc
2018-09-18,,filled,ST.nc
2018-09-19,,filled,ST.nc
2018-09-20,,filled,ST.nc
2018-09-21,,filled,ST.nc
2018-09-22,6.520107746,filled,ST.nc
2018-09-23,,filled,ST.nc
2018-09-24,,filled,ST.nc
2018-09-25,,filled,ST.nc
2018-09-26,,filled,ST.nc
2018-09-27,9.112202644,filled,ST.nc
2018-09-28,,filled,ST.nc
2018-09-29,,filled,ST.nc
2018-09-30,12.62118149,filled,ST.nc
2018-10-01,,filled,ST.nc
2018-10-02,,filled,ST.nc
2018-10-03,2.523818731,filled,ST.nc
2018-10-04,3.327265978,filled,ST.nc
2018-10-05,,filled,ST.nc
2018-10-06,,filled,ST.nc
2018-10-07,10.47925568,filled,ST.nc
2018-10-08,,filled,ST.nc
2018-10-09,,filled,ST.nc
2018-10-10,,filled,ST.nc
2018-10-11,3.494783163,filled,ST.nc
2018-10-12,,filled,ST.nc
2018-10-13,,filled,ST.nc
2018-10-14,,filled,ST.nc
2018-10-15,4.156561375,filled,ST.nc
2018-10-16,6.148454189,filled,ST.nc
2018-10-17,,filled,ST.nc
2018-10-18,,filled,ST.nc
2018-10-19,2.644929647,filled,ST.nc
2018-10-20,,filled,ST.nc
2018-10-21,,filled,ST.nc
2018-10-22,,filled,ST.nc
2018-10-23,,filled,ST.nc
2018-10-24,,filled,ST.nc
2018-10-25,,filled,ST.nc
2018-10-26,2.741230726,filled,ST.nc
2018-10-27,2.940161943,filled,ST.nc
2018-10-28,3.308665991,filled,ST.nc
2018-10-29,,filled,ST.nc
2018-10-30,2.240529537,filled,ST.nc
2018-10-31,,filled,ST.nc
2018-11-01,,filled,ST.nc
2018-11-02,,filled,ST.nc
2018-11-03,3.869916201,filled,ST.nc
2018-11-04,6.131914616,filled,ST.nc
2018-11-05,,filled,ST.nc
2018-11-06,,filled,ST.nc
2018-11-07,4.009110451,filled,ST.nc
2018-11-08,2.294151068,filled,ST.nc
2018-11-09,,filled,ST.nc
2018-11-10,3.043409586,filled,ST.nc
2018-11-11,,filled,ST.nc
2018-11-12,,filled,ST.nc
2018-11-13,,filled,ST.nc
2018-11-14,,filled,ST.nc
2018-11-15,3.832585573,filled,ST.nc
2018-11-16,4.158546448,filled,ST.nc
2018-11-17,,filled,ST.nc
2018-11-18,1.610898614,filled,ST.nc
2018-11-19,,filled,ST.nc
2018-11-20,2.481445074,filled,ST.nc
2018-11-21,2.363533497,filled,ST.nc
2018-11-22,0.723133326,filled,ST.nc
2018-11-23,1.998810291,filled,ST.nc
2018-11-24,3.255267143,filled,ST.nc
2018-11-25,,filled,ST.nc
2018-11-26,2.995001554,filled,ST.nc
2018-11-27,1.910084605,filled,ST.nc
2018-11-28,,filled,ST.nc
2018-11-29,,filled,ST.nc
2018-11-30,2.756712198,filled,ST.nc
2018-12-01,,filled,ST.nc
2018-12-02,,filled,ST.nc
2018-12-03,,filled,ST.nc
2018-12-04,,filled,ST.nc
2018-12-05,,filled,ST.nc
2018-12-06,,filled,ST.nc
2018-12-07,4.678775311,filled,ST.nc
2018-12-08,4.360338211,filled,ST.nc
2018-12-09,2.098299503,filled,ST.nc
2018-12-10,,filled,ST.nc
2018-12-11,,filled,ST.nc
2018-12-12,,filled,ST.nc
2018-12-13,3.972534657,filled,ST.nc
2018-12-14,3.087696552,filled,ST.nc
2018-12-15,,filled,ST.nc
2018-12-16,4.866859436,filled,ST.nc
2018-12-17,3.182787895,filled,ST.nc
2018-12-18,4.491506577,filled,ST.nc
2018-12-19,2.011221886,filled,ST.nc
2018-12-20,5.93040657,filled,ST.nc
2018-12-21,2.914824486,filled,ST.nc
2018-12-22,2.920908213,filled,ST.nc
2018-12-23,,filled,ST.nc
2018-12-24,2.467915535,filled,ST.nc
2018-12-25,,filled,ST.nc
2018-12-26,,filled,ST.nc
2018-12-27,3.147857428,filled,ST.nc
2018-12-28,,filled,ST.nc
2018-12-29,,filled,ST.nc
2018-12-30,2.710053444,filled,ST.nc
2018-12-31,3.114118338,filled,ST.nc
2019-01-01,2.124291897,filled,ST.nc
2019-01-02,,filled,ST.nc
2019-01-03,,filled,ST.nc
2019-01-04,3.107780695,filled,ST.nc
