date,chlor_a,status,source_file
18/06/2018,,filled,ST.nc
19/06/2018,,filled,ST.nc
20/06/2018,,filled,ST.nc
21/06/2018,1.783966303,filled,ST.nc
22/06/2018,1.886411428,filled,ST.nc
23/06/2018,,filled,ST.nc
24/06/2018,,filled,ST.nc
25/06/2018,2.786006451,filled,ST.nc
26/06/2018,,filled,ST.nc
27/06/2018,,filled,ST.nc
28/06/2018,,filled,ST.nc
29/06/2018,1.609442115,filled,ST.nc
30/06/2018,,filled,ST.nc
1/07/2018,,filled,ST.nc
2/07/2018,,filled,ST.nc
3/07/2018,,filled,ST.nc
4/07/2018,,filled,ST.nc
5/07/2018,,filled,ST.nc
6/07/2018,,filled,ST.nc
7/07/2018,,filled,ST.nc
8/07/2018,1.356253624,filled,ST.nc
9/07/2018,,filled,ST.nc
10/07/2018,3.229168653,filled,ST.nc
11/07/2018,3.81383729,filled,ST.nc
12/07/2018,9.918087006,filled,ST.nc
13/07/2018,,filled,ST.nc
14/07/2018,,filled,ST.nc
15/07/2018,,filled,ST.nc
16/07/2018,,filled,ST.nc
17/07/2018,,filled,ST.nc
18/07/2018,,filled,ST.nc
19/07/2018,,filled,ST.nc
20/07/2018,,filled,ST.nc
21/07/2018,,filled,ST.nc
22/07/2018,2.38115859,filled,ST.nc
23/07/2018,,filled,ST.nc
24/07/2018,,filled,ST.nc
25/07/2018,,filled,ST.nc
26/07/2018,2.612627983,filled,ST.nc
27/07/2018,,filled,ST.nc
28/07/2018,,filled,ST.nc
29/07/2018,,filled,ST.nc
30/07/2018,3.197247505,filled,ST.nc
31/07/2018,3.399739504,filled,ST.nc
1/08/2018,,filled,ST.nc
2/08/2018,,filled,ST.nc
3/08/2018,,filled,ST.nc
4/08/2018,,filled,ST.nc
5/08/2018,,filled,ST.nc
6/08/2018,,filled,ST.nc
7/08/2018,1.10740459,filled,ST.nc
8/08/2018,,filled,ST.nc
9/08/2018,,filled,ST.nc
10/08/2018,1.954116821,filled,ST.nc
11/08/2018,2.941739321,filled,ST.nc
12/08/2018,,filled,ST.nc
13/08/2018,,filled,ST.nc
14/08/2018,7.185929775,filled,ST.nc
15/08/2018,9.46152401,filled,ST.nc
